Distanza,Track3,Track4,Track5,Track6,Track7,Track8,Track9,Track10,Track11,Track12,Track13,Track14,Track15,Track16,Focus1,Focus2,Focus3,TrackPosition,AngleToTrackAxis,Speed,SpeedY,Damage,DistanceRaced,RPM,Accelerate,Brake,Steering,Gear
5684.68,6.34988,7.17815,8.55381,10.995,16.0694,31.6266,193.74,31.72,16.0924,11.005,8.55915,7.18133,6.35182,5.85355,-1.0,-1.0,-1.0,2.77433E-6,-2.59574E-4,8.41259,9.26969E-4,0.0,0.578125,1073.27,1.0,0.0,0.0,1
5684.88,6.34997,7.17822,8.55385,10.995,16.0691,31.6246,193.466,31.7221,16.0928,11.005,8.55912,7.18126,6.35174,5.85345,-1.0,-1.0,-1.0,-1.9507E-5,-2.74833E-4,9.89731,0.00127359,0.0,0.782227,1237.52,1.0,0.0,0.0,1
5685.18,6.35061,7.17894,8.55468,10.996,16.0705,31.6267,193.157,31.7199,16.0914,11.004,8.55829,7.18054,6.35109,5.85285,-1.0,-1.0,-1.0,-1.24758E-4,-2.81509E-4,11.7965,0.00179694,0.0,1.08398,1451.41,1.0,0.0,0.0,1
5685.46,6.3493,7.17743,8.55284,10.9936,16.0667,31.6179,192.801,31.7288,16.0952,11.0065,8.56013,7.18205,6.3524,5.85404,-1.0,-1.0,-1.0,7.3693E-5,-2.95814E-4,13.3586,-0.00128133,0.0,1.36377,1621.21,1.0,0.0,0.0,1
5685.69,6.34974,7.17798,8.55358,10.9947,16.0688,31.6247,192.682,31.722,16.0931,11.0053,8.55938,7.1815,6.35196,5.85367,-1.0,-1.0,-1.0,2.05473E-5,-2.67204E-4,14.5566,3.52657E-4,0.0,1.59668,1777.21,1.0,0.0,0.0,1
5685.96,6.35106,7.17943,8.55524,10.9967,16.0714,31.6277,192.368,31.719,16.0905,11.0033,8.55773,7.18005,6.35065,5.85243,-1.0,-1.0,-1.0,-1.99318E-4,-2.89138E-4,15.8167,-7.95966E-5,0.0,1.85889,1919.29,1.0,0.0,0.0,1
5686.14,6.34997,7.17825,8.5539,10.9951,16.0694,31.626,192.263,31.7206,16.0924,11.0049,8.55906,7.18123,6.35173,5.85346,-1.0,-1.0,-1.0,-1.51721E-5,-2.65773E-4,16.6552,3.84317E-4,0.0,2.03955,2016.06,1.0,0.0,0.0,1
5686.43,6.34918,7.17734,8.5528,10.9937,16.0672,31.6211,191.928,31.7255,16.0947,11.0064,8.56017,7.18215,6.35253,5.85418,-1.0,-1.0,-1.0,1.06465E-4,-2.71972E-4,17.9518,2.1903E-4,0.0,2.32813,2159.96,1.0,0.0,0.0,1
5686.74,6.34957,7.17775,8.55324,10.9941,16.0677,31.6205,191.566,31.7262,16.0942,11.0059,8.55972,7.18173,6.35213,5.8538,-1.0,-1.0,-1.0,3.57194E-5,-2.87708E-4,19.2893,-8.45426E-5,0.0,2.63867,2324.22,1.0,0.0,0.0,1
5687.07,6.35,7.17828,8.55393,10.9951,16.0695,31.626,191.317,31.7207,16.0924,11.0049,8.55904,7.1812,6.3517,5.85343,-1.0,-1.0,-1.0,-2.02873E-5,-2.67204E-4,20.7575,1.33584E-4,0.0,2.97266,2505.12,1.0,0.0,0.0,1
